,market_datetimes
212,2023-02-15 11:30:00
213,2023-02-15 12:30:00
214,2023-02-15 13:30:00
215,2023-02-15 14:30:00
216,2023-02-15 15:30:00
217,2023-02-16 09:30:00
218,2023-02-16 10:30:00
219,2023-02-16 11:30:00
220,2023-02-16 12:30:00
221,2023-02-16 13:30:00
222,2023-02-16 14:30:00
223,2023-02-16 15:30:00
224,2023-02-17 09:30:00
225,2023-02-17 10:30:00
226,2023-02-17 11:30:00
227,2023-02-17 12:30:00
228,2023-02-17 13:30:00
229,2023-02-17 14:30:00
230,2023-02-17 15:30:00
231,2023-02-21 09:30:00
232,2023-02-21 10:30:00
233,2023-02-21 11:30:00
234,2023-02-21 12:30:00
235,2023-02-21 13:30:00
236,2023-02-21 14:30:00
237,2023-02-21 15:30:00
238,2023-02-22 09:30:00
239,2023-02-22 10:30:00
240,2023-02-22 11:30:00
241,2023-02-22 12:30:00
242,2023-02-22 13:30:00
243,2023-02-22 14:30:00
244,2023-02-22 15:30:00
245,2023-02-23 09:30:00
246,2023-02-23 10:30:00
247,2023-02-23 11:30:00
248,2023-02-23 12:30:00
249,2023-02-23 13:30:00
250,2023-02-23 14:30:00
251,2023-02-23 15:30:00
252,2023-02-24 09:30:00
253,2023-02-24 10:30:00
254,2023-02-24 11:30:00
255,2023-02-24 12:30:00
256,2023-02-24 13:30:00
257,2023-02-24 14:30:00
258,2023-02-24 15:30:00
259,2023-02-27 09:30:00
260,2023-02-27 10:30:00
261,2023-02-27 11:30:00
262,2023-02-27 12:30:00
263,2023-02-27 13:30:00
264,2023-02-27 14:30:00
265,2023-02-27 15:30:00
266,2023-02-28 09:30:00
267,2023-02-28 10:30:00
268,2023-02-28 11:30:00
269,2023-02-28 12:30:00
270,2023-02-28 13:30:00
271,2023-02-28 14:30:00
272,2023-02-28 15:30:00
273,2023-03-01 09:30:00
274,2023-03-01 10:30:00
275,2023-03-01 11:30:00
276,2023-03-01 12:30:00
277,2023-03-01 13:30:00
278,2023-03-01 14:30:00
279,2023-03-01 15:30:00
280,2023-03-02 09:30:00
281,2023-03-02 10:30:00
282,2023-03-02 11:30:00
283,2023-03-02 12:30:00
284,2023-03-02 13:30:00
285,2023-03-02 14:30:00
286,2023-03-02 15:30:00
287,2023-03-03 09:30:00
288,2023-03-03 10:30:00
289,2023-03-03 11:30:00
290,2023-03-03 12:30:00
291,2023-03-03 13:30:00
292,2023-03-03 14:30:00
293,2023-03-03 15:30:00
294,2023-03-06 09:30:00
295,2023-03-06 10:30:00
296,2023-03-06 11:30:00
297,2023-03-06 12:30:00
298,2023-03-06 13:30:00
299,2023-03-06 14:30:00
300,2023-03-06 15:30:00
301,2023-03-07 09:30:00
302,2023-03-07 10:30:00
303,2023-03-07 11:30:00
304,2023-03-07 12:30:00
305,2023-03-07 13:30:00
306,2023-03-07 14:30:00
307,2023-03-07 15:30:00
308,2023-03-08 09:30:00
309,2023-03-08 10:30:00
310,2023-03-08 11:30:00
311,2023-03-08 12:30:00
312,2023-03-08 13:30:00
313,2023-03-08 14:30:00
314,2023-03-08 15:30:00
315,2023-03-09 09:30:00
316,2023-03-09 10:30:00
317,2023-03-09 11:30:00
318,2023-03-09 12:30:00
319,2023-03-09 13:30:00
320,2023-03-09 14:30:00
321,2023-03-09 15:30:00
322,2023-03-10 09:30:00
323,2023-03-10 10:30:00
324,2023-03-10 11:30:00
325,2023-03-10 12:30:00
326,2023-03-10 13:30:00
327,2023-03-10 14:30:00
328,2023-03-10 15:30:00
329,2023-03-13 09:30:00
330,2023-03-13 10:30:00
331,2023-03-13 11:30:00
332,2023-03-13 12:30:00
333,2023-03-13 13:30:00
334,2023-03-13 14:30:00
335,2023-03-13 15:30:00
336,2023-03-14 09:30:00
337,2023-03-14 10:30:00
338,2023-03-14 11:30:00
339,2023-03-14 12:30:00
340,2023-03-14 13:30:00
341,2023-03-14 14:30:00
342,2023-03-14 15:30:00
343,2023-03-15 09:30:00
344,2023-03-15 10:30:00
345,2023-03-15 11:30:00
346,2023-03-15 12:30:00
347,2023-03-15 13:30:00
348,2023-03-15 14:30:00
349,2023-03-15 15:30:00
350,2023-03-16 09:30:00
351,2023-03-16 10:30:00
352,2023-03-16 11:30:00
353,2023-03-16 12:30:00
354,2023-03-16 13:30:00
355,2023-03-16 14:30:00
356,2023-03-16 15:30:00
357,2023-03-17 09:30:00
358,2023-03-17 10:30:00
359,2023-03-17 11:30:00
360,2023-03-17 12:30:00
361,2023-03-17 13:30:00
362,2023-03-17 14:30:00
363,2023-03-17 15:30:00
364,2023-03-20 09:30:00
365,2023-03-20 10:30:00
366,2023-03-20 11:30:00
367,2023-03-20 12:30:00
368,2023-03-20 13:30:00
369,2023-03-20 14:30:00
370,2023-03-20 15:30:00
371,2023-03-21 09:30:00
372,2023-03-21 10:30:00
373,2023-03-21 11:30:00
374,2023-03-21 12:30:00
375,2023-03-21 13:30:00
376,2023-03-21 14:30:00
377,2023-03-21 15:30:00
378,2023-03-22 09:30:00
379,2023-03-22 10:30:00
380,2023-03-22 11:30:00
381,2023-03-22 12:30:00
382,2023-03-22 13:30:00
383,2023-03-22 14:30:00
384,2023-03-22 15:30:00
385,2023-03-23 09:30:00
386,2023-03-23 10:30:00
387,2023-03-23 11:30:00
388,2023-03-23 12:30:00
389,2023-03-23 13:30:00
390,2023-03-23 14:30:00
391,2023-03-23 15:30:00
392,2023-03-24 09:30:00
393,2023-03-24 10:30:00
394,2023-03-24 11:30:00
395,2023-03-24 12:30:00
396,2023-03-24 13:30:00
397,2023-03-24 14:30:00
398,2023-03-24 15:30:00
399,2023-03-27 09:30:00
400,2023-03-27 10:30:00
401,2023-03-27 11:30:00
